Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,254,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4575.8501979414095,38.55,0
2,255,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4550.793930635838,38.7,0
2,256,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4549.793160054719,38.85,0
2,257,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4555.279938744257,39,0
2,258,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4584.718077474891,39.15,0
2,259,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4279.062095531587,39.3,0
2,260,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4565.267223382046,39.45,0
2,261,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4681.751824817518,39.6,0
2,262,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4625.531914893617,39.75,0
2,263,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4547.663551401869,39.9,0
2,264,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4550.495049504951,40.05,0
2,265,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4556.043956043956,40.2,0
2,266,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4574.685057471264,40.35,0
2,267,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,4434.582191780822,40.5,0
2,268,1,255.0,255.0,255.0,0,0,0,1770.6,7200.0,4485.300000000002,40.5,0
